Time,Pelvis,Right Hand,Left Hand,Head,Right Foot,Left Foot
77,[0.29476872 0.2344287  1.        ],[-0.0850073   0.46644396  1.4821078 ],[-0.01235314  0.25602132  1.3100952 ],[0.24104819 0.31650192 1.7138791 ],[0.14867286 0.17399198 0.14934218],[0.34693596 0.02732032 0.14776063]
78,[0.3034243  0.22930972 1.        ],[-0.09655987  0.41603082  1.4718895 ],[-0.01373153  0.20991586  1.3326315 ],[0.24551956 0.31597602 1.7116683 ],[0.14659438 0.1627829  0.154867  ],[0.36430413 0.00858378 0.1468842 ]
79,[0.31210282 0.22531456 1.        ],[-0.1091514  0.3750016  1.4692808],[0.03631624 0.19655544 1.2801641 ],[0.25575334 0.31778824 1.705725  ],[0.1447283  0.12769002 0.14871562],[ 0.3796066  -0.00770503  0.14334595]
80,[0.32103607 0.22294724 1.        ],[-0.12897435  0.3586747   1.4707555 ],[0.02218428 0.21985245 1.2988467 ],[0.24765778 0.30902153 1.70519   ],[0.1346977  0.13591504 0.15303779],[ 0.35970896 -0.00103403  0.15179133]
81,[0.33023888 0.21778052 1.        ],[-0.13887262  0.32954273  1.4681563 ],[0.01221036 0.19851868 1.3217351 ],[0.24677837 0.29450408 1.703923  ],[0.12565067 0.10679321 0.15246952],[ 0.3600919  -0.00948496  0.14966899]
82,[0.33965844 0.21184738 1.        ],[-0.13896823  0.29936028  1.4699141 ],[0.01395223 0.19236912 1.3241124 ],[0.25105304 0.28211057 1.7032886 ],[0.12908885 0.08208943 0.15000963],[ 0.37343556 -0.02524792  0.14409423]
83,[0.34932473 0.20904596 1.        ],[-0.14547871  0.27512857  1.4714024 ],[0.01068004 0.17922826 1.3370485 ],[0.2555202  0.27306482 1.7067579 ],[0.13517572 0.08231755 0.15120173],[ 0.375974   -0.02990632  0.14377534]
84,[0.35919413 0.2062422  1.        ],[-0.15160683  0.24662244  1.465051  ],[0.03522852 0.14410889 1.3096738 ],[0.26349247 0.26217544 1.7056121 ],[0.14274059 0.06608915 0.15426624],[ 0.36910608 -0.03012526  0.14507365]
85,[0.36926693 0.20058496 1.        ],[-0.14452296  0.2173412   1.4773543 ],[0.09069509 0.09936751 1.2554219 ],[0.26938462 0.25452185 1.703108  ],[0.16311945 0.04248393 0.15387928],[ 0.38155857 -0.04449748  0.15066868]
86,[0.37972164 0.19248204 1.        ],[-0.1346798  0.1771354  1.4634038],[0.1773366  0.01147536 1.1805971 ],[0.2776171  0.24601118 1.7003486 ],[0.19511254 0.01472668 0.144983  ],[ 0.3899451  -0.05817207  0.14607406]
87,[0.39060977 0.18182337 1.        ],[-0.10986135  0.10939682  1.4553897 ],[ 0.19639246 -0.02811848  1.2086308 ],[0.2922435 0.2328819 1.7018031],[ 0.24667355 -0.01839291  0.13826036],[ 0.4053896  -0.07909655  0.14569962]
88,[0.401685   0.17227057 1.        ],[-0.08851833  0.08764365  1.4558567 ],[ 0.21446452 -0.05367623  1.2378007 ],[0.3064263  0.21669152 1.7029495 ],[ 0.28250563 -0.03419385  0.12979323],[ 0.4156195  -0.09369085  0.13781601]
89,[0.41288468 0.16847299 1.        ],[-0.05560986  0.05098562  1.4727591 ],[ 0.23961242 -0.07967515  1.2805848 ],[0.3200629 0.2049536 1.7053463],[ 0.32281256 -0.03688641  0.13100547],[ 0.4343293  -0.09271391  0.1374734 ]
90,[0.42429474 0.1599029  1.        ],[-0.0214726   0.01145002  1.4840341 ],[ 0.2800502  -0.12562254  1.3198433 ],[0.34005332 0.20267603 1.7066067 ],[ 0.3536563  -0.04512397  0.1274305 ],[ 0.45765907 -0.09879712  0.13686496]
91,[0.43595785 0.1523798  1.        ],[ 0.01041597 -0.04640991  1.4694767 ],[ 0.35962    -0.17873962  1.3433208 ],[0.358698   0.19152825 1.699104  ],[ 0.3838429  -0.04964966  0.12914646],[ 0.48063627 -0.09143228  0.13798153]
92,[0.4479153  0.14891288 1.        ],[ 0.05140191 -0.06983879  1.4894435 ],[ 0.42589542 -0.17333725  1.379632  ],[0.37532458 0.18870822 1.7007563 ],[ 0.40676194 -0.05411318  0.12664247],[ 0.50300556 -0.09259918  0.13877064]
93,[0.4603288  0.14288421 1.        ],[ 0.08077367 -0.07982426  1.4735727 ],[ 0.46621126 -0.16182463  1.380142  ],[0.39056775 0.1786306  1.6972771 ],[ 0.42351753 -0.06338029  0.12205386],[ 0.51963764 -0.09707969  0.13720089]
94,[0.4729618  0.14098826 1.        ],[ 0.11369005 -0.11784825  1.4642875 ],[ 0.4909512  -0.15730116  1.3813341 ],[0.4010404  0.17413405 1.6957021 ],[ 0.43380764 -0.0759208   0.12470561],[ 0.5280961  -0.09235761  0.13686454]
95,[0.4858572  0.13653918 1.        ],[ 0.1605708  -0.09764944  1.4657954 ],[ 0.5225005  -0.14453469  1.3810639 ],[0.421827   0.17339064 1.6882768 ],[ 0.45951346 -0.09607886  0.12127066],[ 0.56059873 -0.09438823  0.13243574]
96,[0.49918073 0.12324937 1.        ],[ 0.20000353 -0.14165823  1.4498835 ],[ 0.5404454  -0.13828354  1.3954253 ],[0.4434166  0.16515084 1.6917245 ],[ 0.47860476 -0.10453609  0.1242131 ],[ 0.5855495  -0.08517651  0.1302706 ]
97,[0.5124568  0.10553219 1.        ],[ 0.27891153 -0.16485481  1.4369559 ],[ 0.5682534  -0.13409059  1.4049716 ],[0.4672128 0.1423542 1.6931654],[ 0.5112217  -0.1270452   0.12788266],[ 0.6336892  -0.07654313  0.13399988]
98,[0.5255456  0.09996381 1.        ],[ 0.41625163 -0.13935146  1.446476  ],[ 0.5842206  -0.11547694  1.425303  ],[0.4880215  0.12893459 1.6920451 ],[ 0.5301528  -0.14158544  0.12630033],[ 0.6619306  -0.06268916  0.13261259]
99,[0.53834265 0.09608874 1.        ],[ 0.4400004  -0.16844264  1.4335786 ],[ 0.7237641  -0.16168538  1.3972938 ],[0.5126492  0.12827459 1.6983699 ],[ 0.5624891  -0.1450459   0.12467742],[ 0.696483   -0.01921049  0.13555908]
100,[0.5510245  0.09685598 1.        ],[ 0.4327925 -0.1730003  1.4495703],[ 0.78315705 -0.11531933  1.4276145 ],[0.53559786 0.13184044 1.7016032 ],[ 0.5829817  -0.15605137  0.12121171],[0.7214982  0.00143937 0.1342609 ]
101,[0.5634447  0.10796192 1.        ],[ 0.46466967 -0.16824886  1.4555497 ],[ 0.81985205 -0.08583662  1.4340429 ],[0.55859774 0.13000289 1.7105812 ],[ 0.59875685 -0.14221713  0.11599249],[0.74992156 0.05188993 0.13341403]
102,[0.5757258  0.10796845 1.        ],[ 0.5117749  -0.18332922  1.4430884 ],[ 0.8632138 -0.0727303  1.4456851],[0.581327   0.13530993 1.7164785 ],[ 0.61703414 -0.14085329  0.12195897],[0.7674017  0.07913971 0.13584387]
103,[0.5878487  0.10329913 1.        ],[ 0.60047394 -0.19414736  1.4231157 ],[ 0.9016984 -0.0472051  1.4577502],[0.606207   0.12709747 1.7242311 ],[ 0.6436899  -0.17875172  0.14691365],[0.7934683  0.09989952 0.14214492]
104,[0.5996996  0.10313342 1.        ],[ 0.6647019  -0.19769028  1.3851777 ],[ 0.9423957 -0.0301589  1.4564959],[0.6321997  0.13907966 1.7216405 ],[ 0.68608075 -0.19887927  0.15892506],[0.8184165  0.12258694 0.14952242]
105,[0.6111771  0.10900141 1.        ],[ 0.7174483  -0.16769105  1.3631899 ],[0.9685041  0.01603944 1.4541771 ],[0.6488223  0.14679867 1.7211008 ],[ 0.68474907 -0.22699982  0.15429348],[0.80874956 0.12097628 0.13900745]
106,[0.62242    0.09239775 1.        ],[ 0.7732259 -0.1540919  1.3315423],[1.0083327  0.02707392 1.4508022 ],[0.6693723  0.13065457 1.7180765 ],[ 0.73300815 -0.2620811   0.17834795],[0.8321643  0.10286319 0.13754189]
